Address,Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price,Property_Type,City,District,Land_Price_Per_M2,Land_Value
"Hẻm 281, Đường Lê Văn Sỹ, Phường 1, Tân Bình, Hồ Chí Minh",58.8,4.2,6.0,Đông - Nam,Đông - Nam,3.0,4.0,3.0,Have certificate,Full,8.9,Nhà,Hồ Chí Minh,Quận 1,500.0,29400.0
"Đường Tây Hòa, Phường Phước Long A, Quận 9, Hồ Chí Minh",73.0,4.2,3.0,Bắc,Bắc,1.0,2.0,1.0,Have certificate,Full,4.08,Nhà,Hồ Chí Minh,Quận 9 (Thủ Đức),90.0,6570.0
"Đường Lạc Long Quân, Phường 3, Quận 11, Hồ Chí Minh",33.0,4.0,5.5,Đông - Nam,Đông - Nam,4.0,3.0,4.0,Have certificate,Basic,7.2,Nhà,Hồ Chí Minh,Quận 1,500.0,16500.0
"Dự án Bách Khoa, Đường Nguyễn Duy Trinh, Phường Phú Hữu, Quận 9, Hồ Chí Minh",88.6,5.0,8.0,Đông,Đông,2.0,3.0,3.0,Have certificate,Full,6.3,Nhà,Hồ Chí Minh,Quận 9 (Thủ Đức),90.0,7973.999999999999
"Đường Nguyễn Quý Yêm, Phường An Lạc, Bình Tân, Hồ Chí Minh",68.0,4.0,10.0,Đông - Nam,Đông - Nam,1.0,2.0,2.0,Have certificate,Basic,5.8,Nhà,Hồ Chí Minh,Bình Tân,55.0,3740.0
"Đường Hồ Văn Long, Phường An Lạc, Bình Tân, Hồ Chí Minh",20.0,4.0,10.0,Tây,Tây,3.0,2.0,3.0,Sale contract,Full,1.65,Nhà,Hồ Chí Minh,Bình Tân,55.0,1100.0
"Đường Gò Cát, Phường Phú Hữu, Quận 9, Hồ Chí Minh",35.0,5.0,8.0,Đông - Nam,Đông - Nam,3.0,2.0,1.0,Have certificate,Empty,1.1,Nhà,Hồ Chí Minh,Quận 9 (Thủ Đức),90.0,3150.0
"Đường Gò Cát, Phường Phú Hữu, Quận 9, Hồ Chí Minh",36.0,4.0,8.0,Đông - Nam,Đông - Nam,3.0,1.0,1.0,Have certificate,Full,1.9,Nhà,Hồ Chí Minh,Quận 9 (Thủ Đức),90.0,3240.0
"Đường Lâm Văn Bền, Phường Tân Kiểng, Quận 7, Hồ Chí Minh",26.6,3.0,5.0,Đông - Nam,Đông - Nam,2.0,2.0,3.0,Have certificate,Full,1.99,Nhà,Hồ Chí Minh,Quận 7,180.0,4788.0
"Đường Gò Cát, Phường Phú Hữu, Quận 9, Hồ Chí Minh",52.0,5.0,8.0,Đông - Nam,Đông - Nam,3.0,3.0,3.0,Have certificate,Full,4.4,Nhà,Hồ Chí Minh,Quận 9 (Thủ Đức),90.0,4680.0
"Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",64.0,4.7,6.0,Đông - Nam,Đông - Nam,3.0,4.0,4.0,Have certificate,Full,7.2,Nhà,Hồ Chí Minh,Quận 1,500.0,32000.0
"Đường Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",36.0,5.0,5.0,Đông - Nam,Đông - Nam,2.0,2.0,2.0,Have certificate,Full,2.95,Nhà,Hồ Chí Minh,Quận 2 (Thủ Đức),180.0,6480.0
"Đường Tân Hòa Đông, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",75.0,5.1,5.0,Đông - Nam,Đông - Nam,1.0,1.0,2.0,Have certificate,Full,4.58,Nhà,Hồ Chí Minh,Bình Tân,55.0,4125.0
"Đường Gò Cát, Phường Phú Hữu, Quận 9, Hồ Chí Minh",107.0,5.0,8.0,Tây - Bắc,Đông - Nam,3.0,3.0,3.0,Have certificate,Full,5.8,Nhà,Hồ Chí Minh,Quận 9 (Thủ Đức),90.0,9630.0
"Đường Số 7, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh",66.0,4.0,12.0,Đông - Nam,Đông - Nam,3.0,4.0,5.0,Sale contract,Full,7.3,Nhà,Hồ Chí Minh,Quận 7,180.0,11880.0
"Đường 185, Phường Phước Long B, Quận 9, Hồ Chí Minh",81.0,3.5,4.0,Đông - Bắc,Đông - Bắc,3.0,4.0,4.0,Have certificate,Full,5.3,Nhà,Hồ Chí Minh,Quận 1,500.0,40500.0
"Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh",36.0,3.0,3.0,Tây - Bắc,Tây - Bắc,2.0,2.0,2.0,Have certificate,Full,2.65,Nhà,Hồ Chí Minh,Quận 9 (Thủ Đức),100.0,3600.0
"Đường Nguyễn Tiểu La, Phường 8, Quận 10, Hồ Chí Minh",40.0,4.6,20.0,Đông - Nam,Đông - Nam,5.0,6.0,6.0,Have certificate,Full,10.0,Nhà,Hồ Chí Minh,Quận 1,500.0,20000.0
"60, Đường Man Thiện, Phường Tăng Nhơn Phú A, Thủ Đức, Hồ Chí Minh",40.0,4.7,6.0,Đông - Nam,Đông - Nam,3.0,1.0,1.0,Have certificate,Full,3.6,Nhà,Hồ Chí Minh,Quận 6,85.0,3400.0
"Đường Lê Văn Quới, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",81.0,4.0,6.0,Đông - Nam,Đông - Nam,2.0,4.0,2.0,Have certificate,Full,5.8,Nhà,Hồ Chí Minh,Bình Tân,55.0,4455.0
"650/1A Đường Tên Lửa, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh",47.0,4.2,4.0,Đông,Đông,2.0,2.0,2.0,Have certificate,Basic,4.15,Nhà,Hồ Chí Minh,Quận 1,500.0,23500.0
"Đường Thạnh Xuân 52, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",55.0,4.2,7.0,Đông - Nam,Đông - Nam,3.0,2.0,3.0,Have certificate,Full,3.4,Nhà,Hồ Chí Minh,Quận 1,500.0,27500.0
"Đường Huỳnh Văn Một, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh",38.0,3.5,13.0,Đông - Bắc,Đông - Bắc,5.0,5.0,4.0,Sale contract,Basic,7.8,Nhà,Hồ Chí Minh,Tân Phú,85.0,3230.0
"Đường Số 3D, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh",95.0,5.0,12.0,Tây - Bắc,Đông - Nam,2.0,4.0,3.0,Have certificate,Full,7.2,Nhà,Hồ Chí Minh,Quận 3,250.0,23750.0
"Đường Ni Sư Huỳnh Liên, Phường 10, Tân Bình, Hồ Chí Minh",42.0,4.05,7.0,Đông - Nam,Đông - Nam,2.0,3.0,3.0,Have certificate,Full,6.9,Nhà,Hồ Chí Minh,Quận 1,500.0,21000.0
"Đường Vườn Lài, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",18.5,4.0,8.0,Tây - Bắc,Đông - Nam,2.0,1.0,1.0,Have certificate,Full,2.75,Nhà,Hồ Chí Minh,Tân Phú,85.0,1572.5
"Đường Gò Dầu, Phường Tân Quý, Tân Phú, Hồ Chí Minh",69.0,4.0,6.0,Đông,Đông,3.0,3.0,3.0,Sale contract,Full,8.9,Nhà,Hồ Chí Minh,Tân Phú,85.0,5865.0
"Đường Trường Lưu, Phường Long Trường, Quận 9, Hồ Chí Minh",60.0,4.0,5.0,Đông - Nam,Đông - Nam,3.0,5.0,5.0,Have certificate,Full,3.99,Nhà,Hồ Chí Minh,Quận 9 (Thủ Đức),90.0,5400.0
"1/, Đường Bình Thành, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh",58.0,4.0,3.0,Đông,Đông - Nam,2.0,4.0,3.0,Have certificate,Full,3.95,Nhà,Hồ Chí Minh,Quận 1,500.0,29000.0
"Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",65.0,4.0,6.0,Đông - Nam,Đông - Nam,4.0,4.0,3.0,Have certificate,Full,7.2,Nhà,Hồ Chí Minh,Tân Phú,85.0,5525.0
"Đường Nguyễn Thượng Hiền, Phường 1, Gò Vấp, Hồ Chí Minh",122.1,4.085,5.0,Đông - Nam,Đông - Nam,2.0,4.0,3.0,Have certificate,Basic,8.0,Nhà,Hồ Chí Minh,Quận 1,500.0,61050.0
"Đường Lê Đức Thọ, Phường 15, Gò Vấp, Hồ Chí Minh",107.8,5.0,4.0,Đông - Nam,Đông - Nam,2.0,5.0,2.0,Have certificate,Full,5.8,Nhà,Hồ Chí Minh,Quận 1,500.0,53900.0
"Đường Tân Thới Hiệp 20, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",240.0,4.2,6.0,Đông - Nam,Đông - Nam,1.0,2.0,2.0,Sale contract,Full,7.9,Nhà,Hồ Chí Minh,Quận 1,500.0,120000.0
"Đường 27, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",85.0,5.1,5.0,Đông - Nam,Đông - Nam,1.0,2.0,2.0,Have certificate,Full,5.85,Nhà,Hồ Chí Minh,Quận 7,180.0,15300.0
"Đường Bình Chiểu, Phường Bình Chiểu, Thủ Đức, Hồ Chí Minh",73.1,4.5,6.0,Đông - Nam,Đông - Nam,1.0,2.0,1.0,Have certificate,Full,4.5,Nhà,Hồ Chí Minh,Thủ Đức,100.0,7309.999999999999
"Đường Âu Dương Lân, Phường 2, Quận 8, Hồ Chí Minh",52.0,4.0,3.5,Đông - Nam,Đông - Nam,5.0,6.0,6.0,Have certificate,Full,6.8,Chung cư,Hồ Chí Minh,Quận 8,70.0,3640.0
"Dự án Midtown Phú Mỹ Hưng, Phường Tân Phú, Quận 7, Hồ Chí Minh",81.0,8.0,22.0,Tây - Bắc,Đông - Nam,2.0,3.0,3.0,Sale contract,Full,8.7,Nhà,Hồ Chí Minh,Quận 7,180.0,14580.0
"Đường Thích Quảng Đức, Phường 5, Phú Nhuận, Hồ Chí Minh",41.0,4.4,4.0,Đông - Bắc,Đông - Bắc,2.0,2.0,2.0,Have certificate,Basic,4.3,Nhà,Hồ Chí Minh,Quận 5,120.0,4920.0
"Đường Huỳnh Văn Bánh, Phường 17, Phú Nhuận, Hồ Chí Minh",67.0,5.0,3.0,Tây - Nam,Tây - Nam,3.0,3.0,3.0,Have certificate,Full,6.9,Nhà,Hồ Chí Minh,Quận 1,500.0,33500.0
"Đường  Phan Đăng Lưu, Phường 1, Phú Nhuận, Hồ Chí Minh",48.0,4.3,4.0,Đông - Nam,Đông - Nam,3.0,4.0,4.0,Have certificate,Full,4.9,Nhà,Hồ Chí Minh,Quận 1,500.0,24000.0
"Dự án The Beverly Solari  - Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",50.0,5.0,8.0,Đông - Nam,Đông - Nam,3.0,3.0,3.0,Have certificate,Full,6.4,Chung cư,Hồ Chí Minh,Quận 9 (Thủ Đức),90.0,4500.0
"Đường Cô Giang, Phường 2, Phú Nhuận, Hồ Chí Minh",23.0,4.3,6.0,Nam,Nam,2.0,2.0,2.0,Have certificate,Basic,2.95,Nhà,Hồ Chí Minh,Phú Nhuận,120.0,2760.0
"Đường S7, Phường Tây Thạnh, Tân Phú, Hồ Chí Minh",100.0,4.0,14.0,Đông - Nam,Đông - Nam,2.0,3.0,3.0,Have certificate,Full,9.3,Nhà,Hồ Chí Minh,Quận 7,180.0,18000.0
"Hoàng Anh An Tiến - Gold House, 187A, Đường Lê Văn Lương, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh",166.0,5.0,6.0,Đông - Nam,Đông - Nam,2.0,3.0,3.0,Have certificate,Full,4.1,Nhà,Hồ Chí Minh,Quận 1,500.0,83000.0
"Đường Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh",66.0,4.085,4.0,Đông - Nam,Đông - Nam,3.0,4.0,3.0,Have certificate,Full,6.0,Nhà,Hồ Chí Minh,Quận 8,70.0,4620.0
"Đường Lê Văn Việt, Phường Hiệp Phú, Quận 9, Hồ Chí Minh",66.0,4.5,4.0,Đông - Nam,Đông - Nam,1.0,2.0,2.0,Have certificate,Full,5.1,Nhà,Hồ Chí Minh,Quận 9 (Thủ Đức),80.0,5280.0
"Đường Nguyễn Phúc Chu, Phường 15, Tân Bình, Hồ Chí Minh",50.0,4.5,4.0,Đông - Nam,Đông - Nam,3.0,4.0,4.0,Have certificate,Full,5.15,Nhà,Hồ Chí Minh,Quận 1,500.0,25000.0
"Đường Lý Phục Man, Phường Bình Thuận, Quận 7, Hồ Chí Minh",100.0,6.0,5.0,Đông - Nam,Đông - Nam,3.0,3.0,4.0,Have certificate,Full,8.5,Nhà,Hồ Chí Minh,Quận 7,180.0,18000.0
"Hẻm 60, Đường Man Thiện, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh",38.1,4.06,5.0,Đông - Nam,Đông - Nam,3.0,1.0,1.0,Have certificate,Full,3.6,Nhà,Hồ Chí Minh,Quận 6,85.0,3238.5
"Đường Thạnh Xuân 25, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",81.0,4.2,5.0,Đông - Nam,Đông - Nam,3.0,3.0,4.0,Have certificate,Full,4.9,Nhà,Hồ Chí Minh,Quận 1,500.0,40500.0
"Đường Phan Huy Ích, Phường 14, Gò Vấp, Hồ Chí Minh",52.0,4.085,5.0,Đông - Nam,Đông - Nam,2.0,4.0,3.0,Have certificate,Full,3.6,Nhà,Hồ Chí Minh,Quận 1,500.0,26000.0
"Đường Hưng Phú, Phường 8, Quận 8, Hồ Chí Minh",25.8,3.11,2.0,Đông - Nam,Đông - Nam,2.0,2.0,2.0,Have certificate,Full,4.3,Nhà,Hồ Chí Minh,Quận 8,70.0,1806.0
"Đường Số 2, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",60.0,4.2,6.0,Tây - Nam,Đông - Nam,2.0,4.0,2.0,Have certificate,Basic,4.2,Nhà,Hồ Chí Minh,Thủ Đức,100.0,6000.0
"Đường Lũy Bán Bích, Phường Phú Thạnh, Tân Phú, Hồ Chí Minh",55.0,5.0,6.0,Đông - Nam,Đông - Nam,6.0,6.0,5.0,Have certificate,Full,6.6,Nhà,Hồ Chí Minh,Tân Phú,85.0,4675.0
"Đường Nguyễn Trung Trực, Phường 5, Bình Thạnh, Hồ Chí Minh",24.0,4.0,5.0,Đông - Nam,Đông - Nam,4.0,2.0,3.0,Sale contract,Full,4.95,Nhà,Hồ Chí Minh,Quận 5,120.0,2880.0
"Đường Hương lộ 2, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",66.0,4.0,7.0,Đông - Nam,Đông - Nam,4.0,4.0,4.0,Have certificate,Full,6.3,Nhà,Hồ Chí Minh,Bình Tân,55.0,3630.0
"Đường Nguyễn Duy Trinh, Phường Bình Trưng Tây, Thủ Đức, Hồ Chí Minh",61.7,4.7,6.0,Đông - Nam,Đông - Nam,3.0,2.0,1.0,Have certificate,Basic,5.9,Nhà,Hồ Chí Minh,Thủ Đức,100.0,6170.0
"Đường Nguyễn Cửu Vân, Phường 17, Bình Thạnh, Hồ Chí Minh",67.0,4.0,5.0,Đông - Nam,Đông - Nam,2.0,2.0,2.0,Have certificate,Full,6.27,Nhà,Hồ Chí Minh,Quận 1,500.0,33500.0
"Đường Hậu Giang, Phường 11, Quận 6, Hồ Chí Minh",76.0,4.0,8.0,Tây,Đông - Nam,2.0,3.0,3.0,Have certificate,Basic,4.6,Nhà,Hồ Chí Minh,Quận 1,500.0,38000.0
"Đường Lạc Long Quân, Phường 3, Quận 11, Hồ Chí Minh",45.65,4.2,3.0,Đông - Nam,Đông - Nam,2.0,3.0,2.0,Have certificate,Full,5.2,Nhà,Hồ Chí Minh,Quận 1,500.0,22825.0
"Đường Phan Văn Khỏe, Phường 5, Quận 6, Hồ Chí Minh",44.1,3.5,4.0,Tây - Nam,Đông - Nam,3.0,5.0,5.0,Have certificate,Full,6.6,Nhà,Hồ Chí Minh,Quận 5,120.0,5292.0
"Đường Trịnh Đình Thảo, Phường Phú Trung, Tân Phú, Hồ Chí Minh",63.0,3.45,6.0,Đông - Nam,Đông - Nam,3.0,3.0,3.0,Have certificate,Full,6.2,Nhà,Hồ Chí Minh,Tân Phú,85.0,5355.0
"Đường Nguyễn Trọng Tuyển, Phường 2, Tân Bình, Hồ Chí Minh",56.0,4.0,6.0,Đông - Nam,Đông - Nam,5.0,5.0,6.0,Have certificate,Basic,9.7,Nhà,Hồ Chí Minh,Tân Bình,120.0,6720.0
"Đường Bùi Thị Xuân, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",20.3,4.5,4.8,Đông - Nam,Đông - Nam,4.0,2.0,2.0,Have certificate,Basic,4.75,Nhà,Hồ Chí Minh,Quận 1,500.0,10150.0
"Đường Âu Cơ, Phường Phú Trung, Tân Phú, Hồ Chí Minh",30.0,3.0,20.0,Đông - Nam,Đông - Nam,2.0,2.0,2.0,Have certificate,Full,4.4,Nhà,Hồ Chí Minh,Tân Phú,85.0,2550.0
"Hẻm 247A, Đường Huỳnh Văn Bánh, Phường 12, Phú Nhuận, Hồ Chí Minh",33.1,4.3,6.0,Đông - Nam,Đông - Nam,3.0,3.0,3.0,Have certificate,Full,7.1,Nhà,Hồ Chí Minh,Quận 1,500.0,16550.0
"Đường Phan Huy Ích, Phường 15, Tân Bình, Hồ Chí Minh",126.0,11.0,5.0,Đông - Nam,Đông - Nam,1.0,4.0,4.0,Have certificate,Full,6.7,Nhà,Hồ Chí Minh,Quận 1,500.0,63000.0
"Đường Xô Viết Nghệ Tĩnh, Phường 26, Bình Thạnh, Hồ Chí Minh",55.0,4.0,5.0,Đông - Nam,Đông - Nam,3.0,5.0,4.0,Have certificate,Full,8.2,Nhà,Hồ Chí Minh,Quận 6,85.0,4675.0
"Đường 6, Phường Linh Trung, Thủ Đức, Hồ Chí Minh",89.4,4.7,4.0,Đông - Nam,Đông - Nam,3.0,4.0,3.0,Have certificate,Full,5.9,Nhà,Hồ Chí Minh,Quận 6,85.0,7599.000000000001
"Đường Nguyễn Văn Khối, Phường 8, Gò Vấp, Hồ Chí Minh",43.0,4.0,6.0,Tây,Nam,3.0,4.0,5.0,Have certificate,Full,5.1,Nhà,Hồ Chí Minh,Quận 8,70.0,3010.0
"Đường 8, Phường Linh Trung, Thủ Đức, Hồ Chí Minh",51.2,4.7,4.0,Đông - Nam,Đông - Nam,2.0,2.0,2.0,Have certificate,Basic,4.5,Nhà,Hồ Chí Minh,Quận 8,70.0,3584.0
"Đường Phạm Thế Hiển, Phường 6, Quận 8, Hồ Chí Minh",82.0,4.0,4.0,Đông - Nam,Đông - Nam,2.0,2.0,3.0,Have certificate,Full,8.5,Nhà,Hồ Chí Minh,Quận 6,85.0,6970.0
"Dự án 13E Phong Phú, Xã Phong Phú, Bình Chánh, Hồ Chí Minh",100.0,5.0,20.0,Đông - Nam,Đông - Nam,3.0,4.0,5.0,Have certificate,Full,8.0,Nhà,Hồ Chí Minh,Quận 1,500.0,50000.0
"Green Riverside, Huỳnh Tấn Phát, Phú Xuân, Nhà Bè, Hồ Chí Minh",80.0,6.6,10.0,Đông - Nam,Đông - Nam,4.0,4.0,5.0,Have certificate,Full,8.9,Nhà,Hồ Chí Minh,Nhà Bè,25.0,2000.0
"Đường Vĩnh Viễn, Phường 4, Quận 10, Hồ Chí Minh",32.0,3.2,5.0,Đông - Nam,Đông - Nam,6.0,3.0,3.0,Have certificate,Full,9.8,Chung cư,Hồ Chí Minh,Quận 1,500.0,16000.0
"Đường Cao Bá Nhạ, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",81.4,3.7,4.8,Đông - Nam,Đông - Nam,1.0,4.0,3.0,Have certificate,Full,9.9,Nhà,Hồ Chí Minh,Quận 1,500.0,40700.0
"Dự án Prosper Plaza, Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",125.0,4.2,6.0,Đông - Nam,Đông - Nam,3.0,3.0,2.0,Have certificate,Full,3.17,Nhà,Hồ Chí Minh,Quận 1,500.0,62500.0
"Đường Lạc Long Quân, Phường 9, Tân Bình, Hồ Chí Minh",35.0,5.0,5.0,Đông - Nam,Đông - Nam,2.0,2.0,2.0,Sale contract,Basic,4.7,Nhà,Hồ Chí Minh,Tân Bình,120.0,4200.0
"Dự án Topaz Elite, Đường Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh",158.0,4.0,4.0,Đông - Nam,Đông - Nam,2.0,2.0,2.0,Sale contract,Full,8.5,Nhà,Hồ Chí Minh,Quận 4,160.0,25280.0
"Đường Phan Anh, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",66.7,4.0,6.0,Đông - Nam,Đông - Nam,1.0,4.0,3.0,Have certificate,Full,6.4,Nhà,Hồ Chí Minh,Bình Tân,55.0,3668.5
"Đường Cao Đạt, Phường 1, Quận 5, Hồ Chí Minh",30.0,3.0,5.0,Đông - Nam,Đông - Nam,3.0,3.0,4.0,Have certificate,Full,6.6,Nhà,Hồ Chí Minh,Quận 1,500.0,15000.0
"Golf Park, Số 1, Đường Số 2, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh.",82.5,5.0,13.0,Đông,Đông,2.0,4.0,3.0,Have certificate,Full,5.05,Nhà,Hồ Chí Minh.,Quận 1,500.0,41250.0
"Đường Quang Trung, Phường 10, Gò Vấp, Hồ Chí Minh",60.0,4.0,8.0,Đông - Nam,Đông - Nam,2.0,3.0,2.0,Have certificate,Full,7.98,Nhà,Hồ Chí Minh,Quận 1,500.0,30000.0
"Đường  Phạm Huy Thông, Phường 6, Gò Vấp, Hồ Chí Minh",80.0,5.0,5.0,Đông - Nam,Đông - Nam,3.0,4.0,3.0,Have certificate,Full,8.5,Nhà,Hồ Chí Minh,Quận 6,85.0,6800.0
"Dự án Centana City Điền Phúc Thành, Đường Trường Lưu, Phường Long Trường, Quận 9, Hồ Chí Minh",80.0,5.0,30.0,Tây,Đông - Nam,3.0,4.0,5.0,Have certificate,Full,8.0,Chung cư,Hồ Chí Minh,Quận 9 (Thủ Đức),90.0,7200.0
"106, Đường Man Thiện, Phường Tăng Nhơn Phú A, Thủ Đức, Hồ Chí Minh",100.0,4.0,8.0,Đông - Nam,Đông - Nam,1.0,6.0,5.0,Have certificate,Full,7.5,Nhà,Hồ Chí Minh,Quận 1,500.0,50000.0
"Đường Phan Văn Trị, Phường 7, Gò Vấp, Hồ Chí Minh",105.0,4.085,5.0,Đông - Nam,Đông - Nam,3.0,4.0,3.0,Have certificate,Full,8.5,Nhà,Hồ Chí Minh,Quận 7,180.0,18900.0
"Đường Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Hồ Chí Minh",35.0,4.5,4.8,Đông - Nam,Đông - Nam,5.0,3.0,3.0,Have certificate,Full,7.5,Nhà,Hồ Chí Minh,Quận 1,450.0,15750.0
"Đường Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, Hồ Chí Minh",77.0,4.7,6.0,Đông - Nam,Đông - Nam,2.0,3.0,3.0,Have certificate,Full,7.1,Nhà,Hồ Chí Minh,Quận 7,180.0,13860.0
"Dự án 4S Riverside Garden, Đường 17, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",56.0,6.8,6.0,Nam,Đông - Nam,3.0,3.0,1.0,Have certificate,Basic,2.6,Nhà,Hồ Chí Minh,Quận 1,500.0,28000.0
"Đường B, Phường Tây Thạnh, Tân Phú, Hồ Chí Minh",75.0,4.6,14.0,Tây - Nam,Đông - Nam,3.0,4.0,4.0,Sale contract,Full,8.9,Nhà,Hồ Chí Minh,Tân Phú,85.0,6375.0
"Hẻm 226, Đường Số 8, Phường Linh Xuân, Thủ Đức, Hồ Chí Minh",60.1,4.5,6.0,Đông - Bắc,Đông - Bắc,4.0,3.0,4.0,Have certificate,Full,6.8,Nhà,Hồ Chí Minh,Quận 6,85.0,5108.5
"1806/127, Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh",85.0,5.0,6.0,Tây,Đông - Nam,3.0,3.0,3.0,Have certificate,Full,4.7,Nhà,Hồ Chí Minh,Quận 1,500.0,42500.0
"Đường Tô Hiến Thành, Phường 14, Quận 10, Hồ Chí Minh",60.0,4.6,5.0,Đông - Nam,Đông - Nam,4.0,3.0,3.0,Have certificate,Full,9.5,Nhà,Hồ Chí Minh,Quận 1,500.0,30000.0
"Đường Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",72.0,4.0,5.3,Đông - Nam,Đông - Nam,4.0,3.0,3.0,Have certificate,Full,10.0,Nhà,Hồ Chí Minh,Quận 4,160.0,11520.0
"Đường Hòa Hưng, Phường 12, Quận 10, Hồ Chí Minh",90.0,4.6,5.0,Đông - Nam,Đông - Nam,3.0,3.0,3.0,Have certificate,Full,9.9,Nhà,Hồ Chí Minh,Quận 1,500.0,45000.0
"Đường Số 8, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh",72.0,4.0,6.0,Tây,Đông - Nam,3.0,4.0,3.0,Have certificate,Full,4.8,Nhà,Hồ Chí Minh,Quận 8,70.0,5040.0
"Đường Nguyễn Hữu Dật, Phường Tây Thạnh, Tân Phú, Hồ Chí Minh",76.0,4.0,5.0,Đông - Nam,Đông - Nam,2.0,3.0,2.0,Have certificate,Basic,6.5,Nhà,Hồ Chí Minh,Tân Phú,85.0,6460.0
"Đường Nguyễn Thái Sơn, Phường 4, Gò Vấp, Hồ Chí Minh",54.6,4.085,5.0,Đông - Nam,Đông - Nam,3.0,3.0,3.0,Have certificate,Full,6.5,Nhà,Hồ Chí Minh,Quận 4,160.0,8736.0
"158/, Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",61.0,4.085,6.0,Tây,Tây,3.0,3.0,3.0,Have certificate,Full,6.5,Nhà,Hồ Chí Minh,Quận 1,500.0,30500.0
"Đường Số 8, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh",102.0,5.0,8.0,Đông - Nam,Đông - Nam,3.0,4.0,3.0,Have certificate,Full,8.7,Nhà,Hồ Chí Minh,Quận 8,70.0,7140.0
"562/1, Đường Quang Trung, Phường 11, Gò Vấp, Hồ Chí Minh",46.0,4.085,5.0,Đông - Nam,Đông - Nam,1.0,1.0,1.0,Have certificate,Full,4.75,Nhà,Hồ Chí Minh,Quận 1,500.0,23000.0
"Dự án RichStar, Đường Hòa Bình, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh",60.0,4.0,6.0,Đông - Nam,Đông - Nam,1.0,1.0,1.0,Have certificate,Full,3.8,Nhà,Hồ Chí Minh,Tân Phú,85.0,5100.0
"1/, Đường Hương Lộ 3, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh",64.0,5.0,5.0,Đông - Nam,Đông - Nam,3.0,4.0,3.0,Have certificate,Full,5.1,Nhà,Hồ Chí Minh,Quận 1,500.0,32000.0
"Hẻm 28/10/3d, Đường Mai Văn Ngọc, Phường 10, Phú Nhuận, Hồ Chí Minh",18.3,4.3,4.0,Đông - Nam,Đông - Nam,2.0,1.0,2.0,Have certificate,Full,2.3,Nhà,Hồ Chí Minh,Quận 1,500.0,9150.0
"Đường Tân Thới Nhất 1, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",66.0,4.2,7.0,Đông - Nam,Đông - Nam,4.0,4.0,5.0,Have certificate,Full,6.99,Nhà,Hồ Chí Minh,Quận 1,500.0,33000.0
"Hẻm 891, Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",20.0,4.2,6.0,Đông - Nam,Đông - Nam,2.0,2.0,1.0,Have certificate,Full,1.77,Nhà,Hồ Chí Minh,Quận 1,500.0,10000.0
